code	name	city	state	country
DHF	Al Dhafra Military	Abu Dhabi		AE
AZI	Bateen	Abu Dhabi		AE
AUH	Abu Dhabi Intl	Abu Dhabi		AE
AAN	Al Ain	Al Ain		AE
FJR	Fujairah Intl Arpt	Al-Fujairah		AE
DXB	Dubai International	Dubai		AE
NHD	Military Airport	Minhad Ab		AE
RKT	Ras Al Khaimah	Ras Al Khaimah		AE
SHJ	Sharjah	Sharjah		AE
BIN	Bamiyan	Bamiyan		AF
BST	Bost	Bost		AF
CCN	Chakcharan	Chakcharan		AF
DAZ	Darwaz	Darwaz		AF
FBD	Faizabad	Faizabad		AF
FAH	Farah	Farah		AF
GRG	Gardez	Gardez		AF
GZI	Ghazni	Ghazni		AF
HEA	Herat	Herat		AF
JAA	Jalalabad	Jalalabad		AF
KBL	Khwaja Rawash	Kabul		AF
KDH	Kandahar	Kandahar		AF
KHT	Khost	Khost		AF
KWH	Khwahan	Khwahan		AF
UND	Kunduz	Kunduz		AF
KUR	Kuran-O-Munjan	Kuran-O-Munjan		AF
MMZ	Maimana	Maimana		AF
MZR	Mazar-I-Sharif	Mazar-I-Sharif		AF
IMZ	Nimroz	Nimroz		AF
LQN	Qala Nau	Qala Nau		AF
SBF	Sardeh Band	Sardeh Band		AF
SGA	Sheghnan	Sheghnan		AF
TQN	Taluqan	Taluqan		AF
TII	Tirinkot	Tirinkot		AF
URN	Urgoon	Urgoon		AF
URZ	Uruzgan	Uruzgan		AF
ZAJ	Zaranj	Zaranj		AF
ANU	V.C. Bird Intl	Antigua		AG
BBQ	Barbuda	Barbuda		AG
AXA	Wallblake	Anguilla		AI
TIA	Rinas	Tirana		AL
LWN	Gyoumri	Gyoumri		AM
EVN	Yerevan	Yerevan		AM
BON	Flamingo Intl	Bonaire		AN
CUR	Aeropuerto Hato	Curacao		AN
SAB	J. Yrausquin	Saba Island		AN
EUX	F D Roosevelt	St Eustatius		AN
SXM	Princ. Juliana	St Maarten		AN
AZZ	Ambriz	Ambriz		AO
ANL	Andulo	Andulo		AO
BUG	Gen V Deslandes	Benguela		AO
CAB	Cabinda	Cabinda		AO
CFF	Cafunfo	Cafunfo		AO
CNZ	Cangamba	Cangamba		AO
KNP	Capanda	Capanda		AO
CBT	Catumbela	Catumbela		AO
CAV	Cazombo	Cazombo		AO
PGI	Chitato	Chitato		AO
CTI	Cuito Cuanavale	Cuito Cuanavale		AO
DRC	Dirico	Dirico		AO
DUE	Dundo	Dundo		AO
NOV	Huambo	Huambo		AO
JMB	Jamba	Jamba		AO
SVP	Kuito	Kuito		AO
LAD	4 de Fevereiro	Luanda		AO
UAL	Luau	Luau		AO
SDD	Lubango	Lubango		AO
LUO	Luena	Luena		AO
LBZ	Lukapa	Lukapa		AO
GGC	Lumbala	Lumbala		AO
LZM	Luzamba	Luzamba		AO
SSY	M'Banza Congo	M'Banza Congo		AO
MEG	Malange	Malange		AO
SPP	Menongue	Menongue		AO
NRQ	N'Riquinha	N'Riquinha		AO
ARZ	N'Zeto	N'Zeto		AO
MSZ	Namibe	Namibe		AO
NDF	Ndalatandos	Ndalatandos		AO
GXG	Negage	Negage		AO
NGV	Ngiva	Ngiva		AO
NZA	Nzagi	Nzagi		AO
VPE	Ongiva	Ongiva		AO
PBN	Porto Amboim	Porto Amboim		AO
VHC	Saurimo	Saurimo		AO
SZA	Soyo	Soyo		AO
NDD	Sumbe	Sumbe		AO
UGO	Uige	Uige		AO
CEO	Waco Kungo	Waco Kungo		AO
XGN	Xangongo	Xangongo		AO
TNM	Teniente R. Marsh	Teniente R. Marsh		AQ
BHI	Comandante	Bahia Blanca	BA	AR
BUE	All airports	Buenos Aires	BA	AR
EZE	Ministro Pistarini	Buenos Aires	BA	AR
AEP	Arpt. Jorge Newbery	Buenos Aires	BA	AR
CPG	Carmen De Patagones	Carmen De Patagones	BA	AR
CSZ	Hector Ruiz	Coronel Suarez	BA	AR
EPA	El Palomar	El Palomar	BA	AR
VGS	General Villegas	General Villegas	BA	AR
JNI	Junin	Junin	BA	AR
LPG	La Plata	La Plata	BA	AR
MDQ	Mar Del Plata	Mar Del Plata	BA	AR
MJR	Miramar	Miramar	BA	AR
NEC	Necochea	Necochea	BA	AR
OVR	Olavarria	Olavarria	BA	AR
PEH	Pehuajo	Pehuajo	BA	AR
SZQ	Saenz Pena	Saenz Pena	BA	AR
SST	Santa Teresita	Santa Teresita	BA	AR
TDL	Tandil	Tandil	BA	AR
OYO	Tres Arroyos	Tres Arroyos	BA	AR
VLG	Villa Gesell	Villa Gesell	BA	AR
CTC	Catamarca	Catamarca	CA	AR
ARR	Alto Rio Senguerr	Alto Rio Senguerr	CB	AR
